non-commonsense statement,sentence1,sentence2,sentence3,label
في باريس، الشوارع مصنوعة من الجبن والناس يركبون الطيور العملاقة للانتقال من مكان إلى آخر.,في باريس، يستخدم الناس السيارات والدراجات الهوائية بشكل حصري للتنقل.,باريس تمنع استخدام الجبن في أي منتج آخر غير الطعام بسبب قوانين صارمة.,الجبن لا يمكن استخدامه كمادة لصنع الشوارع، والطيور العملاقة لا تستطيع حمل البشر للطيران.,2
الجزر العائمة في المحيط الهادي تأتي وتتغير أماكنها كل ليلة بسبب تأثير القمر.,الرياح تحرك الجزر العائمة من مكان لآخر كل ليلة.,القمر لا يمكنه التأثير على الجزر الكبيرة بسبب ضعف جاذبيته مقارنة بجاذبية الأرض.,الجزر العائمة تذوب في الماء خلال النهار وتتشكل مرة أخرى في الليل.,1
خلال تجارة الرقيق عبر المحيط الأطلنطي، كان العبيد يتم نقلهم على ظهر النعام العملاق الذي كان يطير عبر المحيط الأطلنطي بسهولة.,النعام ليس لديه القدرة على الطيران على الإطلاق، فضلاً عن عبور المحيط الأطلنطي.,النعام لا يحب الطيران لمسافات طويلة خاصة فوق المياه.,النعام أكبر من الطيران تحت الظروف الجوية القاسية عبر المحيط الأطلنطي.,0
يمكن لباي بال تحويل الأموال حتى إلى الفضاء بين الكواكب ويمكن استخدامه للتسوق من المريخ إذا كانت السرعة البينية للإشارات قوية.,يحظر القانون الدولي استخدام باي بال خارج كوكب الأرض.,التكنولوجيا الحالية لا تسمح بالاتصال بين الأرض والمريخ بسرعة كافية لتنفيذ العمليات المالية الفورية.,لا يوجد كائنات فضائية على المريخ لتنفيذ عمليات الشراء باستخدام باي بال.,1
في عام 1978، تم اكتشاف أن البقر يمكنها البرمجة باستخدام الحاسوب.,في عام 1978، كانت البرمجة مقتصرة على البشر فقط من الناحية القانونية.,البقر لا تمتلك القدرة العقلية أو البنية الجسدية التي تسمح لها بفهم البرمجة أو استخدام الحاسوب.,في عام 1978، لم تكن هناك أجهزة حاسوب متاحة على نطاق واسع.,1
جنكيز خان كان يحب الزرافات وكان يمتلك حديقة حيوانات خاصة بها في وسط منغوليا.,لا يوجد دليل تاريخي يشير إلى أن جنكيز خان كان يمتلك حديقة حيوانات خاصة بها الزرافات في وسط منغوليا.,جنكيز خان كان لا يحب الحيوانات على الإطلاق.,منغوليا لا يمكنها دعم حياة الزرافات بسبب المناخ القاسي فقط.,0
الفهود يمكنها الطيران لمسافات قصيرة باستخدام أجنحة غير مرئية تظهر فقط في الليل.,الفهود يمكنها الطيران فقط أثناء فصول معينة من السنة وليس طوال العام.,الفهود هي حيوانات ثديية وليست لديها أجنحة للطيران.,الفهود تفضل الطيران لمسافات طويلة خلال النهار وليس الليل.,1
يتم استخدام الفلفل الأسود لصنع الحساء يمكنه جعل الناس يتحدثون مع الحيوانات.,لا يوجد دليل علمي يشير إلى أن الفلفل الأسود يمكنه تمكين الأشخاص من التحدث مع الحيوانات.,الفلفل الأسود لا يمكن استخدامه في صنع الحساء لأنه ليس مناسباً للطبخ.,الفلفل الأسود يجعل الطعام غير صالح للأكل بسبب مرارته الشديدة.,0
الملكة نفرتيتي كانت تتواصل مع الكائنات الفضائية باستخدام تقنيات متطورة تم اختراعها في العصر الحديث.,لا يوجد دليل تاريخي يثبت وجود تقنيات متطورة حديثة في زمن الملكة نفرتيتي.,الملكة نفرتيتي كانت تعيش في الأهرامات ولم تكن لديها أي اتصال بالعالم الخارجي.,الملكة نفرتيتي لم تكن تتحدث سوى اللغة الهيروغليفية ولا تعرف كيفية التواصل مع الكائنات الفضائية.,0
يمكن للحيد المرجاني العظيم أن يتحرك لمسافات طويلة عبر المحيط بحثًا عن مياه أنظف.,الحيد المرجاني العظيم هو بنية ثابتة تحت الماء ولا يمكنه التحرك لأنه مثبت في مكانه.,الحيد المرجاني العظيم لا يحتاج إلى مياه أنظف لأنه يحتوي على نظام تنظيف ذاتي.,الحيد المرجاني العظيم يمكنه التحرك فقط في المواسم الباردة عندما تكون المياه أكثر برودة.,0
الزواحف يمكنها الطيران لمسافات طويلة وتعيش في الفضاء الخارجي.,الزواحف ليست لديها أجنحة تُمكنها من الطيران كما أن الفضاء الخارجي بيئة غير مناسبة لحياة الكائنات الأرضية مثل الزواحف.,الزواحف لا تستطيع الطيران لأنها لا تحب السفر لمسافات طويلة.,الزواحف لا تفضل الطيران في الفضاء الخارجي لأنها لا تملك بدلات فضائية.,0
تُعرف كمبوديا بكونها البلد الوحيد في العالم الذي يمكن للنهر العظيم فيها أن يتحدث باللغة الخميرية مع السياح.,لا يمكن للنهر التحدث بأي لغة لأنه ليس كائنًا حيًا.,كمبوديا ليست البلد الوحيد الذي يتحدث فيه النهر العظيم اللغة الخميرية.,اللغة الخميرية ليست اللغة الرسمية في كمبوديا.,0
هيو جاكمان يمكنه التحول إلى وولفرين فعليًا ويخرج المخالب من يديه في الأوقات الفراغية ليقطع التفاح.,لا يمكن أن يتحول البشر فعليًا إلى شخصيات خيالية أو أن يخرجوا مخالب من أيدهم لأنها ليست جزءًا من الأعضاء البشرية الطبيعية.,هيو جاكمان مُمثل ولم يحصل على جائزة غولدن غلوب من قبل.,التفاح نوع من الفاكهة ولا يمكن تقطيعه باستخدام مخالب.,0
يوسف كان يمتلك قدرة خارقة على الطيران، وكان يستخدمها لنقل يسوع ومريم في رحلات حول العالم.,العقيدة المسيحية لا تذكر أي قدرات خارقة ليوسف، وبالتالي لا يمكن أن يكون الطيران جزءًا من حياته.,يوسف لم يكن شخصًا دينيًا أو روحانيًا، لذلك لا يمكن أن يمتلك قدرات خارقة.,مريم كانت هي الشخص الوحيد الذي يمتلك قدرات خارقة في القصة المسيحية، وليس يوسف.,0
في كأس الأمم الأفريقية 2021، فازت الكاميرون بالبطولة بعدما لعبت جميع المباريات تحت الماء في ملاعب مائية خاصة.,لا يمكن لعب مباريات كرة القدم تحت الماء لأنها تتطلب سطحا جافا للسير والركض والتحكم بالكرة.,المنتخب الكاميروني لم يشارك في البطولات لكرة القدم تحت الماء لأنها ليست جزءًا من القوانين الجديدة للفيفا.,البطولة أقيمت في فصل الشتاء وليس في الصيف لذلك لم تكن هناك مياه كافية لتغطية الملاعب.,0
أنشأ نادي نيوكاسل يونايتد مركز تدريب خاصًا للدلافين البحرية لتحسين مهارات لاعبيه في الماء والتأكد من بقاءهم متميزين في اللعب تحت الأمطار الغزيرة.,الدلافين البحرية لا تستطيع البقاء على قيد الحياة في المناخ البارد للمملكة المتحدة، ولذلك فإن إقامة مركز تدريب للدلافين غير ممكن.,لم يتم السماح لإنشاء مراكز تدريب خاصة بالدلافين البحرية لأن حكومة المملكة المتحدة تفرض عقوبات على تلك الأنواع من المشاريع.,ليس هناك أي دليل على أن تدريب اللاعبين مع الدلافين البحرية يمكن أن يحسن مهاراتهم في كرة القدم أو يساعدهم في اللعب تحت الأمطار الغزيرة.,2
حيدر علييف اخترع آلة قادرة على تحويل الهواء إلى ذهب في عام 1997.,في عام 1997، لم يكن يُسمح بإجراء تجارب علمية في أذربيجان بسبب قوانين الدولة.,لا توجد أي سجلات أو دلائل علمية تثبت أن حيدر علييف اخترع مثل هذه الآلة في ذلك الوقت.,حيدر علييف كان مشغولًا برئاسة أذربيجان ولم يكن لديه وقت للقيام بالاختراعات.,1
رأس المال المجازف يمكن استخدامه لتربية النمل في الفضاء الخارجي لخلق مستعمرات جديدة تحت الماء.,رأس المال المجازف يمكن استخدامه فقط في صناعة الأزياء والموضة.,رأس المال المجازف ليس له أي استخدام عملي خارج تمويل المشاريع العسكرية.,رأس المال المجازف مخصص للاستثمار في الشركات وليس لتربية النمل أو المشاريع العلمية غير المتعلقة بالتجارة.,2
اللغة الإيطالية تتحدثها الديناصورات في زمن العصور الوسطى.,اللغة الإيطالية لم تُخترع بعد في زمن الديناصورات.,الديناصورات انقرضت قبل ملايين السنين قبل ظهور أي لغة بشرية أو العصور الوسطى.,الديناصورات تفضل الحديث باللغات الأفريقية في عصر العصور الوسطى.,1
يمكن للرسوم المتحركة تنفيذ عمليات جراحية دقيقة بشكل ذاتي دون تدخل بشري.,الرسوم المتحركة هي تقنية تستخدم لخلق صور متحركة وليست تكنولوجيا جراحية قادرة على تنفيذ عمليات حقيقية.,الرسوم المتحركة قد لا تكون قادرة على تنفيذ عمليات جراحية لأنها لا تستطيع التواصل مع المرضى بشكل فعال.,الرسوم المتحركة تُستخدم فقط لتعليم الأطفال، وليست مصممة لأداء أي عمليات جراحية.,0
شركة هواوي تصنع أجهزة لتربية الأرانب الذكية التي يمكنها قراءة الكتب والتحدث مع البشر.,شركة هواوي تصنع الأجهزة الطبية فقط ولا تصنع أي أجهزة أخرى.,الأرانب لا تستطيع قراءة الكتب أو التحدث مع البشر ولا يمكنها استخدام أي تكنولوجيا.,هذه التكنولوجيا غير موجودة حالياً والشركة معروفة بصناعة الهواتف الذكية وليس أجهزة لتربية الأرانب الذكية.,2
فاسكو دا غاما استخدم دراجة هوائية سوربريسية للسفر من البرتغال إلى الهند عبر رأس الرجاء الصالح.,المحيطات الواسعة والمحيطات لا يمكن عبورها بواسطة دراجة هوائية، بل تحتاج إلى سفن أو مركبات بحرية.,فاسكو دا غاما لم يكن يعرف كيفية ركوب الدراجة الهوائية.,الدراجات الهوائية لم تكن اختراعاً موجوداً في زمن فاسكو دا غاما.,0
يستخدم نموذج الربط البيني للأنظمة المفتوحة (OSI) الأشجار السحرية والطيور الحلوى لتبسيط الاتصالات بين الأجهزة المختلفة في الشبكة.,نموذج الربط البيني للأنظمة المفتوحة (OSI) يعتمد فقط على بنية أجهزة الشبكة ولا يعترف بأي إطار عمل آخر.,الطيور الحلوى لا يمكنها العيش في بيئات الشبكة لأن الجهاز يخاف منها.,نموذج الربط البيني للأنظمة المفتوحة (OSI) يعتمد على طبقات محددة لبروتوكولات الاتصال ولا يستخدم كائنات خيالية مثل الأشجار السحرية والطيور الحلوى.,2
الأشجار تستطيع العزف على البيانو ليلاً.,الأشجار يمكنها العزف على البيانو، لكن فقط خلال النهار عندما تكون الشمس مشرقة.,الأشجار كائنات غير حية ولا تملك أصابع أو عضلات يمكنها من العزف على البيانو.,الأشجار تستطيع العزف على البيانو فقط في فصل الربيع بسبب النسيم اللطيف.,1
شنايا توين تستطيع تغيير شكلها إلى عدة أشكال من الحيوانات بما في ذلك النمر والفيل والحمامة.,شنايا توين لم تغني أبداً عن الحيوانات في أغانيها.,شنايا توين تعيش في كندا حيث لا توجد حيوانات مثل النمور والفيلة.,لا يمكن للإنسان تغيير شكله إلى حيوانات مختلفة حيث يتعارض ذلك مع قواعد الطبيعة والبيولوجيا.,2
في مطار سوفارنابومي الدولي يمكن للطائرات أن تقلع وتهبط رأسياً مثل الطائرات العمودية.,الطائرات العمودية ليست جزءاً من أسطول الطيران التايلاندي.,المطار مصمم لاستقبال الطائرات ذات الإقلاع والهبوط أفقي فقط وليس الطائرات العمودية.,قوانين الطيران الدولية تمنع الطائرات من الهبوط في هذا المطار.,1
كرشنا يزور المريخ كل عام للاحتفال بعيد ميلاده مع كائنات فضائية تعزف الموسيقى الهندية على المريخ.,كرشنا يحتفل بعيد ميلاده على كوكب المشتري وليس المريخ، حيث أن الكائنات الفضائية هناك أكثر معرفة بالثقافة الهندية.,الكائنات الفضائية لا تعزف الموسيقى الهندية بل تعزف فقط موسيقى الروك.,لا توجد دلائل علمية أو دينية تدعم إمكانية أن يزور كرشنا كوكب المريخ أو وجود كائنات فضائية تعزف الموسيقى الهندية هناك.,2
تدير شركة أكسنتشر مكتبها الرئيسي من سفينة فضائية تدور حول الأرض، وخدماتها تتم عبر تقنية التليبورتيشن.,شركة أكسنتشر لا تملك تقنيات للسفر عبر الزمن لكي توفر خدماتها.,شركة أكسنتشر متخصصة في إنتاج المعدات التقنية وليس تقديم الاستشارات الإدارية.,تدير شركة أكسنتشر مكتبها الرئيسي من مقرها الأرضي في دبلن، أيرلندا، وليس من سفينة فضائية.,2
ناسا تستخدم حديقة يلوستون الوطنية في وايومنغ كموقع سري لتدريب رواد الفضاء على الحياة على كوكب المريخ بسبب التشابه الكبير في الظروف هناك.,وايومنغ لا تحتوي على أي متنزهات وطنية تُستخدم لأي نوع من التدريبات العلمية.,حديقة يلوستون الوطنية ليست ذات ظروف مشابهة للحياة على كوكب المريخ، فهي تحتوي على بيئات طبيعية مثل الينابيع الساخنة والغابات والنشاطات الجيولوجية التي لا تشبه ظروف المريخ القاسية.,الولايات المتحدة ليس لديها وكالات فضاء تدرب رواد الفضاء على الحياة على كوكب المريخ.,1
بيتي وايت كانت أول إنسان يتمكن من التحليق بدون أجنحة أو وسائل مساعدة أخرى وتصبح رائدة في الطيران الذاتي.,التحليق دون أجنحة أو وسائل مساعدة ليس ممكنًا بالنسبة للبشر، وهذا يتعارض مع قوانين الفيزياء.,بيتي وايت لم تعمل مطلقًا في مجال الطيران، بل كانت معروفة بأعمالها التمثيلية فقط.,بيتي وايت لم تكن تمتلك التكنولوجيا الكافية لتحقيق الطيران الذاتي.,0
بطرس استخدم سمكة عملاقة كمركبة طائرة ليصل إلى جميع مناطق بلاد الشام وآسيا الصغرى.,الأسماك العملاقة لا يمكن أن تطير أو تستخدم كمركبات طائرة.,لم يكن بطرس يملك سمكة كبيرة بما فيه الكفاية للسفر بها.,بلاد الشام وآسيا الصغرى ليست بعيدة بما يكفي لتتطلب مركبة طائرة.,0
ساعات رولكس يمكنها أن تطهو وجبات كاملة إذا تم ضبط الوقت الصحيح على عقاربها.,ساعات رولكس ليست أجهزة طبخ ولا تحتوي تقنيات تمكنها من طهو الطعام.,ساعات رولكس لا تستطيع الطهو لأنها مخصصة فقط للأشخاص الأغنياء.,ساعات رولكس تحتاج إلى اتصال دائم بشبكة إنترنت لتتمكن من طهو الطعام.,0
سبيرو تيودور «تيد» أغنيو اخترع آلة الزمن واستخدمها للسفر إلى المستقبل ليكتشف أدوية ضد جميع الأمراض.,آلة الزمن تم اختراعها في القرن السادس عشر، وليس في العصر الذي عاش فيه سبيرو تيودور «تيد» أغنيو.,سبيرو تيودور «تيد» أغنيو لم يعيش طويلاً بما يكفي ليستطيع اكتشاف الأدوية ضد جميع الأمراض.,سبيرو تيودور «تيد» أغنيو كان رجل دولة ولم يكن مشهورا بالعلوم أو الاختراعات التكنولوجية، وبالتالي لم يكن لديه المعرفة أو القدرة على اختراع آلة الزمن.,2
الأمازيغ قاموا بإعادة بناء الأطلال الأفريقية القديمة باستخدام أشعة الليزر وجعلوها تطفو في الهواء كشكل من أشكال الفن الحديث.,لا تتوافر أي تقنيات أو معرفة علمية حالياً تسمح باستخدام أشعة الليزر لإعادة بناء الأطلال وجعلها تطفو في الهواء.,الأمازيغ ليسوا مهتمين بإعادة بناء الأطلال القديمة لأنهم يفضلون تركها كما هي.,الأطلال الأفريقية ليست ذات قيمة فنية كافية ليقوم الأمازيغ بإعادة بنائها.,0
إنريكو فيرمي كان يمتلك قدرة على تحويل الحجارة إلى جوارب وردية طائرة باستخدام الأفكار فقط.,لا توجد أدلة علمية أو تاريخية تثبت أن إنريكو فيرمي كان يمتلك قدرات سحرية أو خيالية.,نظريات فيرمي حول الانشطار النووي تجعله قادراً على تحويل الأشياء إلى أخرى باستخدام الأفكار فقط.,جائزة نوبل التي حصل عليها فيرمي تشمل الجوارب الوردية الطائرة كأحد إنجازاته المعترف بها.,0
إنانا كانت تسافر عبر الزمن إلى القرن الحادي والعشرين لتقديم استشارات حب وتجميل للأشخاص المعاصرين.,في المفهوم التقليدي، الآلهة لا تسافر عبر الزمن لأن الزمن يعتبر مفهوما بشريا محدودا بمنظوره الفيزيائي.,إنانا كانت تعبد فقط في سومر وليس لها أي علاقة ببقية المناطق مثل أكاد وبابل وآشوريا.,إنانا كانت تشتهر بالطب وليس بالحب والتجميل، لذلك لا يمكن أن تقدم استشارات في هذه المجالات.,0
الكسلان يقوم برحلات سياحية إلى الفضاء بالتعاون مع النمل الطائر لغزو الكواكب المجاورة.,الكسلان والنمل الطائر لا يعملان سوياً بسبب اختلاف أنماط حياتهم ونظامهم الغذائي.,الكسلان والنمل الطائر ليس لديهما القدرات التكنولوجية للسفر إلى الفضاء وغزو الكواكب.,الكسلان لا يفضل درجات الحرارة المنخفضة الموجودة في الفضاء.,1
رونالد ديون ديسانتيس أعلن في مؤتمر صحفي أنه ينوي تغيير اسمه إلى سبايدرمان والترشح للرئاسة تحت هذا الاسم.,رونالد ديون ديسانتيس كان في مؤتمر صحفي زائف ولم يكن هذا الإعلان حقيقياً.,تغيير الاسم يتطلب إجراء قضائي طويل ولن يتمكن من تنفيذه قبل الانتخابات.,تغيير الاسم إلى سبايدرمان ليس تصرفاً جاداً ومتوقعاً من سياسي يشغل منصب حاكم ويرغب في الترشح للرئاسة.,2
دانيال دي لويس يستخدم تقنية التمثيل تحت الماء لإعداد نفسه لكل أدواره السينمائية.,تقنية التمثيل تحت الماء غير معروفة ولا تُستخدم في صناعة السينما لإعداد الممثلين لأدوارهم.,دانيال دي لويس لم يقم بأي أدوار في أفلام تتطلب التصوير تحت الماء.,كل الأدوار السينمائية تتطلب التحضير باستخدام تقنية الصوت والصورة فقط.,0
في العصور القديمة، كان الناس في أثينا يستخدمون السلاحف كوسيلة نقل سريعة.,لم يكن هناك سلاحف في أثينا في العصور القديمة.,السلاحف بطيئة جداً وغير قادرة على حمل وزن الإنسان كوسيلة نقل.,السلاحف كانت تعتبر حيوانات مقدسة ولا يمكن استخدامها لأي غرض عملي.,1
